address	value	formula
H53	2538.54573406976	=(E15+F15)/$D$48
I53	48702.060251011	=J20*(G53+H53)
J53	49157.1711885336	=D53
K53	-455.11093752255	=I53-J53
A54	Recette n°2	=C16
B54	161466.612284731	=D16+(D31*0.01*$F$7)+D32
C54	161466.612284731	=B54+D27
D54	45541.8650033858	=D25+D30+D31*($F$6/(100+$F$6))
E54	207008.477288117	=C54+D54
F54	Recette n°2	=A54
G54	35881.469396607	=B54/$F$5
H54	0	=(E16+F16)/$D$48
I54	45541.8650033857	=J21*(G54+H54)
J54	45541.8650033858	=D54
K54	0	=I54-J54
A55	Recette n°3	=C17
B55	161466.612284731	=D17+(E31*0.01*$F$7)+E32
C55	161466.612284731	=B55+E27
D55	45541.8650033858	=E25+E30+E31*($F$6/(100+$F$6))
E55	207008.477288117	=C55+D55
F55	Recette n°3	=A55
G55	35881.469396607	=B55/$F$5
H55	0	=(E17+F17)/$D$48
I55	45541.8650033857	=J22*(G55+H55)
J55	45541.8650033858	=D55
K55	0	=I55-J55
